Aa	Ao	Fn	Pg	Sg	So	Va
K00945	K00973	K01095	K01070	K00995	K01091	K01090
K00946	K00975	K01101	K01077	K00997	K01092	K01091
K00948	K00980	K01121	K01079	K01000	K01101	K01104
K00950	K00981	K01126	K01104	K01006	K01104	K01129
K00951	K00982	K01139	K01119	K01007	K01126	K01142
K00954	K00989	K01142	K01129	K01056	K01142	K01151
K00962	K00995	K01153	K01142	K01069	K01155	K01153
K00963	K00997	K01154	K01144	K01071	K01176	K01154
K00965	K01000	K01157	K01155	K01079	K01186	K01159
K00970	K01004	K01159	K01159	K01081	K01190	K01163
K00971	K01056	K01163	K01163	K01090	K01191	K01207
K00974	K01057	K01193	K01185	K01091	K01193	K01246
K00975	K01079	K01243	K01186	K01092	K01200	K01251
K00979	K01081	K01246	K01190	K01101	K01206	K01258
K00981	K01090	K01255	K01192	K01104	K01215	K01265
K00982	K01104	K01258	K01206	K01126	K01220	K01267
K00989	K01126	K01259	K01241	K01142	K01223	K01269
K00990	K01129	K01262	K01243	K01153	K01226	K01270
K00991	K01153	K01265	K01258	K01154	K01227	K01271
K00995	K01154	K01267	K01262	K01176	K01234	K01273
K00996	K01176	K01269	K01265	K01190	K01243	K01297
K00998	K01182	K01270	K01270	K01191	K01246	K01304
K01000	K01186	K01271	K01277	K01193	K01256	K01338
K01008	K01187	K01299	K01278	K01200	K01258	K01356
K01012	K01193	K01303	K01284	K01206	K01261	K01358
K01034	K01207	K01304	K01338	K01220	K01262	K01409
K01035	K01212	K01338	K01358	K01223	K01265	K01420
K01042	K01223	K01356	K01362	K01226	K01269	K01424
K01056	K01236	K01358	K01372	K01234	K01271	K01436
K01057	K01256	K01362	K01409	K01243	K01274	K01448
K01069	K01259	K01409	K01420	K01246	K01281	K01462
K01070	K01262	K01417	K01422	K01256	K01358	K01465
K01079	K01265	K01420	K01424	K01258	K01361	K01489
K01081	K01356	K01422	K01447	K01261	K01362	K01491
K01082	K01358	K01424	K01448	K01262	K01372	K01493
K01091	K01372	K01425	K01462	K01265	K01390	K01495
K01092	K01409	K01436	K01465	K01269	K01409	K01496
K01095	K01417	K01439	K01468	K01271	K01417	K01515
K01096	K01424	K01443	K01489	K01274	K01421	K01520
K01104	K01433	K01448	K01491	K01281	K01424	K01523
K01118	K01462	K01452	K01493	K01286	K01439	K01524
K01119	K01463	K01462	K01495	K01358	K01443	K01534
K01126	K01465	K01463	K01520	K01361	K01462	K01571
K01129	K01478	K01465	K01524	K01362	K01465	K01579
K01139	K01488	K01468	K01533	K01372	K01467	K01581
K01141	K01489	K01479	K01537	K01409	K01489	K01582
K01142	K01491	K01491	K01572	K01417	K01491	K01586
K01147	K01494	K01493	K01579	K01421	K01493	K01588
K01153	K01495	K01495	K01586	K01424	K01495	K01591
K01159	K01496	K01507	K01588	K01436	K01512	K01599
K01166	K01507	K01515	K01591	K01439	K01515	K01601
K01175	K01512	K01520	K01610	K01443	K01520	K01607
K01176	K01515	K01524	K01613	K01462	K01531	K01610
K01187	K01523	K01534	K01619	K01463	K01537	K01611
K01190	K01552	K01537	K01620	K01465	K01541	K01613
K01207	K01560	K01567	K01623	K01467	K01552	K01615
K01243	K01579	K01571	K01627	K01468	K01575	K01619
K01246	K01586	K01572	K01633	K01478	K01582	K01624
K01255	K01588	K01580	K01658	K01479	K01586	K01627
K01256	K01591	K01581	K01662	K01489	K01588	K01633
K01258	K01596	K01588	K01665	K01491	K01589	K01643
K01262	K01607	K01591	K01667	K01493	K01591	K01644
K01265	K01609	K01610	K01673	K01495	K01595	K01646
K01270	K01611	K01613	K01676	K01496	K01597	K01649
K01338	K01619	K01615	K01689	K01512	K01598	K01652
K01356	K01624	K01620	K01710	K01515	K01599	K01653
K01358	K01626	K01623	K01711	K01520	K01609	K01654
K01409	K01628	K01627	K01712	K01523	K01619	K01657
K01414	K01647	K01643	K01714	K01531	K01624	K01658
K01419	K01649	K01644	K01715	K01537	K01626	K01661
K01420	K01652	K01646	K01719	K01552	K01635	K01662
K01424	K01653	K01649	K01735	K01575	K01639	K01673
K01433	K01657	K01652	K01736	K01586	K01641	K01677
K01439	K01658	K01653	K01737	K01588	K01649	K01678
K01443	K01662	K01654	K01744	K01589	K01652	K01679
K01448	K01673	K01662	K01745	K01591	K01653	K01687
K01460	K01679	K01664	K01752	K01595	K01657	K01689
K01462	K01681	K01665	K01756	K01597	K01658	K01693
K01489	K01687	K01667	K01759	K01598	K01673	K01695
K01491	K01689	K01668	K01761	K01609	K01687	K01696
K01494	K01693	K01687	K01770	K01610	K01689	K01698
K01495	K01695	K01689	K01772	K01613	K01695	K01703
K01497	K01696	K01696	K01775	K01619	K01696	K01704
K01507	K01698	K01698	K01776	K01624	K01703	K01714
K01512	K01703	K01703	K01783	K01626	K01704	K01733
K01515	K01704	K01704	K01784	K01635	K01710	K01735
K01520	K01710	K01710	K01785	K01636	K01714	K01736
K01524	K01714	K01712	K01790	K01639	K01733	K01737
K01525	K01733	K01713	K01791	K01641	K01735	K01738
