Aa	Ao	Fn	Pg	Sg	So	Va
K07084	NA	NA	NA	NA	NA	NA
K07085	NA	NA	NA	NA	NA	NA
K07090	NA	NA	NA	NA	NA	NA
K07091	NA	NA	NA	NA	NA	NA
K07098	NA	NA	NA	NA	NA	NA
K07106	NA	NA	NA	NA	NA	NA
K07107	NA	NA	NA	NA	NA	NA
K07109	NA	NA	NA	NA	NA	NA
K07112	NA	NA	NA	NA	NA	NA
K07113	NA	NA	NA	NA	NA	NA
K07115	NA	NA	NA	NA	NA	NA
K07121	NA	NA	NA	NA	NA	NA
K07122	NA	NA	NA	NA	NA	NA
K07124	NA	NA	NA	NA	NA	NA
K07126	NA	NA	NA	NA	NA	NA
K07133	NA	NA	NA	NA	NA	NA
K07153	NA	NA	NA	NA	NA	NA
K07154	NA	NA	NA	NA	NA	NA
K07171	NA	NA	NA	NA	NA	NA
K07172	NA	NA	NA	NA	NA	NA
K07173	NA	NA	NA	NA	NA	NA
K07184	NA	NA	NA	NA	NA	NA
K07186	NA	NA	NA	NA	NA	NA
K07213	NA	NA	NA	NA	NA	NA
K07220	NA	NA	NA	NA	NA	NA
K07230	NA	NA	NA	NA	NA	NA
K07235	NA	NA	NA	NA	NA	NA
K07236	NA	NA	NA	NA	NA	NA
K07237	NA	NA	NA	NA	NA	NA
K07243	NA	NA	NA	NA	NA	NA
K07258	NA	NA	NA	NA	NA	NA
K07259	NA	NA	NA	NA	NA	NA
K07261	NA	NA	NA	NA	NA	NA
K07262	NA	NA	NA	NA	NA	NA
K07263	NA	NA	NA	NA	NA	NA
K07268	NA	NA	NA	NA	NA	NA
K07270	NA	NA	NA	NA	NA	NA
K07275	NA	NA	NA	NA	NA	NA
K07277	NA	NA	NA	NA	NA	NA
K07278	NA	NA	NA	NA	NA	NA
K07285	NA	NA	NA	NA	NA	NA
K07286	NA	NA	NA	NA	NA	NA
K07287	NA	NA	NA	NA	NA	NA
K07306	NA	NA	NA	NA	NA	NA
K07307	NA	NA	NA	NA	NA	NA
K07308	NA	NA	NA	NA	NA	NA
K07320	NA	NA	NA	NA	NA	NA
K07323	NA	NA	NA	NA	NA	NA
K07334	NA	NA	NA	NA	NA	NA
K07340	NA	NA	NA	NA	NA	NA
K07343	NA	NA	NA	NA	NA	NA
K07389	NA	NA	NA	NA	NA	NA
K07390	NA	NA	NA	NA	NA	NA
K07391	NA	NA	NA	NA	NA	NA
K07400	NA	NA	NA	NA	NA	NA
K07447	NA	NA	NA	NA	NA	NA
K07460	NA	NA	NA	NA	NA	NA
K07462	NA	NA	NA	NA	NA	NA
K07464	NA	NA	NA	NA	NA	NA
K07473	NA	NA	NA	NA	NA	NA
K07478	NA	NA	NA	NA	NA	NA
K07479	NA	NA	NA	NA	NA	NA
K07483	NA	NA	NA	NA	NA	NA
K07497	NA	NA	NA	NA	NA	NA
K07507	NA	NA	NA	NA	NA	NA
K07552	NA	NA	NA	NA	NA	NA
K07560	NA	NA	NA	NA	NA	NA
K07566	NA	NA	NA	NA	NA	NA
K07568	NA	NA	NA	NA	NA	NA
K07574	NA	NA	NA	NA	NA	NA
K07640	NA	NA	NA	NA	NA	NA
K07645	NA	NA	NA	NA	NA	NA
K07648	NA	NA	NA	NA	NA	NA
K07662	NA	NA	NA	NA	NA	NA
K07666	NA	NA	NA	NA	NA	NA
K07674	NA	NA	NA	NA	NA	NA
K07685	NA	NA	NA	NA	NA	NA
K07726	NA	NA	NA	NA	NA	NA
K07733	NA	NA	NA	NA	NA	NA
K07735	NA	NA	NA	NA	NA	NA
K07738	NA	NA	NA	NA	NA	NA
K07751	NA	NA	NA	NA	NA	NA
K07773	NA	NA	NA	NA	NA	NA
K07783	NA	NA	NA	NA	NA	NA
K07792	NA	NA	NA	NA	NA	NA
K07812	NA	NA	NA	NA	NA	NA
K07821	NA	NA	NA	NA	NA	NA
K08159	NA	NA	NA	NA	NA	NA
K08218	NA	NA	NA	NA	NA	NA
K08296	NA	NA	NA	NA	NA	NA
K08300	NA	NA	NA	NA	NA	NA
K08301	NA	NA	NA	NA	NA	NA
K08303	NA	NA	NA	NA	NA	NA
K08304	NA	NA	NA	NA	NA	NA
K08305	NA	NA	NA	NA	NA	NA
K08306	NA	NA	NA	NA	NA	NA
K08309	NA	NA	NA	NA	NA	NA
K08310	NA	NA	NA	NA	NA	NA
K08311	NA	NA	NA	NA	NA	NA
K08312	NA	NA	NA	NA	NA	NA
K08315	NA	NA	NA	NA	NA	NA
K08316	NA	NA	NA	NA	NA	NA
K08319	NA	NA	NA	NA	NA	NA
K08321	NA	NA	NA	NA	NA	NA
K08475	NA	NA	NA	NA	NA	NA
K08476	NA	NA	NA	NA	NA	NA
K08478	NA	NA	NA	NA	NA	NA
K08483	NA	NA	NA	NA	NA	NA
K08591	NA	NA	NA	NA	NA	NA
K08680	NA	NA	NA	NA	NA	NA
K08722	NA	NA	NA	NA	NA	NA
K08978	NA	NA	NA	NA	NA	NA
K08990	NA	NA	NA	NA	NA	NA
K08992	NA	NA	NA	NA	NA	NA
K08996	NA	NA	NA	NA	NA	NA
K09001	NA	NA	NA	NA	NA	NA
K09022	NA	NA	NA	NA	NA	NA
K09125	NA	NA	NA	NA	NA	NA
K09131	NA	NA	NA	NA	NA	NA
K09136	NA	NA	NA	NA	NA	NA
K09158	NA	NA	NA	NA	NA	NA
K09159	NA	NA	NA	NA	NA	NA
K09160	NA	NA	NA	NA	NA	NA
K09161	NA	NA	NA	NA	NA	NA
K09458	NA	NA	NA	NA	NA	NA
K09471	NA	NA	NA	NA	NA	NA
K09690	NA	NA	NA	NA	NA	NA
K09691	NA	NA	NA	NA	NA	NA
K09710	NA	NA	NA	NA	NA	NA
K09747	NA	NA	NA	NA	NA	NA
K09748	NA	NA	NA	NA	NA	NA
K09760	NA	NA	NA	NA	NA	NA
K09761	NA	NA	NA	NA	NA	NA
K09765	NA	NA	NA	NA	NA	NA
K09767	NA	NA	NA	NA	NA	NA
K09774	NA	NA	NA	NA	NA	NA
K09780	NA	NA	NA	NA	NA	NA
K09789	NA	NA	NA	NA	NA	NA
K09790	NA	NA	NA	NA	NA	NA
K09791	NA	NA	NA	NA	NA	NA
K09796	NA	NA	NA	NA	NA	NA
K09798	NA	NA	NA	NA	NA	NA
K09800	NA	NA	NA	NA	NA	NA
K09801	NA	NA	NA	NA	NA	NA
K09802	NA	NA	NA	NA	NA	NA
K09806	NA	NA	NA	NA	NA	NA
K09808	NA	NA	NA	NA	NA	NA
K09810	NA	NA	NA	NA	NA	NA
K09811	NA	NA	NA	NA	NA	NA
K09812	NA	NA	NA	NA	NA	NA
K09815	NA	NA	NA	NA	NA	NA
K09816	NA	NA	NA	NA	NA	NA
K09817	NA	NA	NA	NA	NA	NA
K09824	NA	NA	NA	NA	NA	NA
K09858	NA	NA	NA	NA	NA	NA
K09861	NA	NA	NA	NA	NA	NA
K09888	NA	NA	NA	NA	NA	NA
K09889	NA	NA	NA	NA	NA	NA
K09890	NA	NA	NA	NA	NA	NA
K09891	NA	NA	NA	NA	NA	NA
K09892	NA	NA	NA	NA	NA	NA
K09893	NA	NA	NA	NA	NA	NA
K09894	NA	NA	NA	NA	NA	NA
K09895	NA	NA	NA	NA	NA	NA
K09896	NA	NA	NA	NA	NA	NA
K09897	NA	NA	NA	NA	NA	NA
K09898	NA	NA	NA	NA	NA	NA
K09899	NA	NA	NA	NA	NA	NA
K09900	NA	NA	NA	NA	NA	NA
K09901	NA	NA	NA	NA	NA	NA
K09902	NA	NA	NA	NA	NA	NA
K09903	NA	NA	NA	NA	NA	NA
K09904	NA	NA	NA	NA	NA	NA
K09906	NA	NA	NA	NA	NA	NA
K09907	NA	NA	NA	NA	NA	NA
K09908	NA	NA	NA	NA	NA	NA
K09909	NA	NA	NA	NA	NA	NA
K09910	NA	NA	NA	NA	NA	NA
K09911	NA	NA	NA	NA	NA	NA
K09917	NA	NA	NA	NA	NA	NA
K09923	NA	NA	NA	NA	NA	NA
K09946	NA	NA	NA	NA	NA	NA
K09974	NA	NA	NA	NA	NA	NA
K09997	NA	NA	NA	NA	NA	NA
K09998	NA	NA	NA	NA	NA	NA
K09999	NA	NA	NA	NA	NA	NA
K10000	NA	NA	NA	NA	NA	NA
K10009	NA	NA	NA	NA	NA	NA
K10010	NA	NA	NA	NA	NA	NA
K10094	NA	NA	NA	NA	NA	NA
K10108	NA	NA	NA	NA	NA	NA
K10109	NA	NA	NA	NA	NA	NA
K10110	NA	NA	NA	NA	NA	NA
K10111	NA	NA	NA	NA	NA	NA
K10439	NA	NA	NA	NA	NA	NA
K10440	NA	NA	NA	NA	NA	NA
K10441	NA	NA	NA	NA	NA	NA
K10540	NA	NA	NA	NA	NA	NA
K10541	NA	NA	NA	NA	NA	NA
K10542	NA	NA	NA	NA	NA	NA
K10543	NA	NA	NA	NA	NA	NA
K10544	NA	NA	NA	NA	NA	NA
K10545	NA	NA	NA	NA	NA	NA
K10555	NA	NA	NA	NA	NA	NA
K10556	NA	NA	NA	NA	NA	NA
K10557	NA	NA	NA	NA	NA	NA
K10558	NA	NA	NA	NA	NA	NA
K10563	NA	NA	NA	NA	NA	NA
K10678	NA	NA	NA	NA	NA	NA
K10763	NA	NA	NA	NA	NA	NA
K10773	NA	NA	NA	NA	NA	NA
K10805	NA	NA	NA	NA	NA	NA
K10806	NA	NA	NA	NA	NA	NA
K10823	NA	NA	NA	NA	NA	NA
K10914	NA	NA	NA	NA	NA	NA
K11003	NA	NA	NA	NA	NA	NA
K11004	NA	NA	NA	NA	NA	NA
K11005	NA	NA	NA	NA	NA	NA
K11013	NA	NA	NA	NA	NA	NA
K11014	NA	NA	NA	NA	NA	NA
K11015	NA	NA	NA	NA	NA	NA
K11065	NA	NA	NA	NA	NA	NA
K11069	NA	NA	NA	NA	NA	NA
K11070	NA	NA	NA	NA	NA	NA
K11071	NA	NA	NA	NA	NA	NA
K11072	NA	NA	NA	NA	NA	NA
K11085	NA	NA	NA	NA	NA	NA
K11107	NA	NA	NA	NA	NA	NA
K11179	NA	NA	NA	NA	NA	NA
K11183	NA	NA	NA	NA	NA	NA
K11211	NA	NA	NA	NA	NA	NA
K11216	NA	NA	NA	NA	NA	NA
K11530	NA	NA	NA	NA	NA	NA
K11531	NA	NA	NA	NA	NA	NA
K11534	NA	NA	NA	NA	NA	NA
K11604	NA	NA	NA	NA	NA	NA
K11605	NA	NA	NA	NA	NA	NA
K11606	NA	NA	NA	NA	NA	NA
K11607	NA	NA	NA	NA	NA	NA
K11719	NA	NA	NA	NA	NA	NA
K11720	NA	NA	NA	NA	NA	NA
K11749	NA	NA	NA	NA	NA	NA
K11752	NA	NA	NA	NA	NA	NA
K11753	NA	NA	NA	NA	NA	NA
K11754	NA	NA	NA	NA	NA	NA
K11755	NA	NA	NA	NA	NA	NA
K11904	NA	NA	NA	NA	NA	NA
K11907	NA	NA	NA	NA	NA	NA
K11928	NA	NA	NA	NA	NA	NA
K11936	NA	NA	NA	NA	NA	NA
K11991	NA	NA	NA	NA	NA	NA
K11996	NA	NA	NA	NA	NA	NA
K12136	NA	NA	NA	NA	NA	NA
K12137	NA	NA	NA	NA	NA	NA
K12138	NA	NA	NA	NA	NA	NA
K12139	NA	NA	NA	NA	NA	NA
K12140	NA	NA	NA	NA	NA	NA
K12141	NA	NA	NA	NA	NA	NA
K12142	NA	NA	NA	NA	NA	NA
K12143	NA	NA	NA	NA	NA	NA
K12144	NA	NA	NA	NA	NA	NA
K12145	NA	NA	NA	NA	NA	NA
K12267	NA	NA	NA	NA	NA	NA
K12297	NA	NA	NA	NA	NA	NA
K12368	NA	NA	NA	NA	NA	NA
K12369	NA	NA	NA	NA	NA	NA
K12370	NA	NA	NA	NA	NA	NA
K12371	NA	NA	NA	NA	NA	NA
K12372	NA	NA	NA	NA	NA	NA
K12373	NA	NA	NA	NA	NA	NA
K12410	NA	NA	NA	NA	NA	NA
K12509	NA	NA	NA	NA	NA	NA
K12510	NA	NA	NA	NA	NA	NA
K12511	NA	NA	NA	NA	NA	NA
K12512	NA	NA	NA	NA	NA	NA
K12513	NA	NA	NA	NA	NA	NA
K12514	NA	NA	NA	NA	NA	NA
K12515	NA	NA	NA	NA	NA	NA
K12524	NA	NA	NA	NA	NA	NA
K12573	NA	NA	NA	NA	NA	NA
K12982	NA	NA	NA	NA	NA	NA
K12984	NA	NA	NA	NA	NA	NA
K12994	NA	NA	NA	NA	NA	NA
K13038	NA	NA	NA	NA	NA	NA
K13283	NA	NA	NA	NA	NA	NA
K13288	NA	NA	NA	NA	NA	NA
K13292	NA	NA	NA	NA	NA	NA
K13498	NA	NA	NA	NA	NA	NA
K13628	NA	NA	NA	NA	NA	NA
K13634	NA	NA	NA	NA	NA	NA
K13637	NA	NA	NA	NA	NA	NA
K13643	NA	NA	NA	NA	NA	NA
K13694	NA	NA	NA	NA	NA	NA
K13695	NA	NA	NA	NA	NA	NA
K13788	NA	NA	NA	NA	NA	NA
K13888	NA	NA	NA	NA	NA	NA
K13926	NA	NA	NA	NA	NA	NA
K13927	NA	NA	NA	NA	NA	NA
K14055	NA	NA	NA	NA	NA	NA
K14058	NA	NA	NA	NA	NA	NA
K14155	NA	NA	NA	NA	NA	NA
K14170	NA	NA	NA	NA	NA	NA
K14187	NA	NA	NA	NA	NA	NA
K14260	NA	NA	NA	NA	NA	NA
K14392	NA	NA	NA	NA	NA	NA
K14441	NA	NA	NA	NA	NA	NA
K14445	NA	NA	NA	NA	NA	NA
K14742	NA	NA	NA	NA	NA	NA
K15256	NA	NA	NA	NA	NA	NA
K15257	NA	NA	NA	NA	NA	NA
K15342	NA	NA	NA	NA	NA	NA
K15396	NA	NA	NA	NA	NA	NA
K15460	NA	NA	NA	NA	NA	NA
K15461	NA	NA	NA	NA	NA	NA
K15539	NA	NA	NA	NA	NA	NA
K15545	NA	NA	NA	NA	NA	NA
K15580	NA	NA	NA	NA	NA	NA
K15581	NA	NA	NA	NA	NA	NA
K15582	NA	NA	NA	NA	NA	NA
K15583	NA	NA	NA	NA	NA	NA
K15584	NA	NA	NA	NA	NA	NA
K15634	NA	NA	NA	NA	NA	NA
K15724	NA	NA	NA	NA	NA	NA
K15738	NA	NA	NA	NA	NA	NA
K15773	NA	NA	NA	NA	NA	NA
K15977	NA	NA	NA	NA	NA	NA
K15984	NA	NA	NA	NA	NA	NA
K16012	NA	NA	NA	NA	NA	NA
K16013	NA	NA	NA	NA	NA	NA
K16066	NA	NA	NA	NA	NA	NA
K16087	NA	NA	NA	NA	NA	NA
K16089	NA	NA	NA	NA	NA	NA
K16371	NA	NA	NA	NA	NA	NA
K16868	NA	NA	NA	NA	NA	NA
K16915	NA	NA	NA	NA	NA	NA
K17213	NA	NA	NA	NA	NA	NA
K17214	NA	NA	NA	NA	NA	NA
K17215	NA	NA	NA	NA	NA	NA
K17686	NA	NA	NA	NA	NA	NA
K17948	NA	NA	NA	NA	NA	NA
K18136	NA	NA	NA	NA	NA	NA
K18138	NA	NA	NA	NA	NA	NA
